"","X","id.s","host_species","host_genus","host_order","host_class","gbif_id","iso3c","coord_status","coordinate_resolution_processed","gadm_adm1","gadm_adm2","gadm_adm3","start_date","end_date","temporal_resolution","number_of_hosts","trap_nights_clean","trap_nights_status","host_species_original","host_genus_original","event_date_raw","pathogen_record_id","pathogen_species_cleaned","pathogen_species_ncbi","ncbi_id","number_tested","number_positive","number_negative","number_inconclusive","pathogen_species_original","note","mean","Mahalanobis_dist","Marginality","Specificity","Suitability","mean.1","Centroid_d","Boundary_d","in_range_d","bp_X","bp_Y","Centroid_r","Boundary_r","in_range_r"
"1",12894,"david_19373 david_71","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","adm2","CHL.12_1","CHL.12.1_1",NA,"2016-01-01","2017-12-31","year_range_resolution",42,6720,"trapnight_reported","Abrothrix longipilus","Abrothrix","2016/2017","david_27110","Orthohantavirus andesense","Orthohantavirus andesense","1980456",42,3,39,NA,"Andes orthohantavirus",NA,NA,0.104392796754837,0.104392796754837,0.104392796754837,0.104392796754837,NA,399.918339573979,1.80327374378152,FALSE,-72.77,-36,795.587935499399,1.10009547665606,TRUE
"2",12901,"david_19380 david_71","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","adm2","CHL.12_1","CHL.12.1_1",NA,"2016-01-01","2017-12-31","year_range_resolution",217,5880,"trapnight_reported","Abrothrix longipilus","Abrothrix","2016/2017","david_27117","Orthohantavirus andesense","Orthohantavirus andesense","1980456",217,3,214,NA,"Andes orthohantavirus",NA,NA,0.104392796754837,0.104392796754837,0.104392796754837,0.104392796754837,NA,399.918339573979,1.80327374378152,FALSE,-72.77,-36,795.587935499399,1.10009547665606,TRUE
"3",12908,"david_19387 david_71","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","adm2","CHL.12_1","CHL.12.1_1",NA,"2016-01-01","2017-12-31","year_range_resolution",51,11760,"trapnight_reported","Abrothrix longipilus","Abrothrix","2016/2017","david_27124","Orthohantavirus andesense","Orthohantavirus andesense","1980456",51,0,51,NA,"Andes orthohantavirus",NA,NA,0.104392796754837,0.104392796754837,0.104392796754837,0.104392796754837,NA,399.918339573979,1.80327374378152,FALSE,-72.77,-36,795.587935499399,1.10009547665606,TRUE
"4",17966,"david_230 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.7_1","CHL.7.3_1","CHL.7.3.3_1","2006-01-01","2006-12-31","year_only",3,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2006","david_337","Orthohantavirus andesense","Orthohantavirus andesense","1980456",3,0,3,0,"Andes orthohantavirus",NA,0.59645277261734,24.3573665618896,-465.929870605469,-0.274217754602432,2.10359939956106e-05,1,1008.61414898397,3.64818393442679,TRUE,-71.102,-30.513,1386.73299804976,8.99974504558943,FALSE
"5",18067,"david_231 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.4_1","CHL.16.4.2_1","2002-01-01","2002-12-31","year_only",0,270,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_338","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.89338093996048,10.1011075973511,-188.811767578125,0.114844523370266,0.0177259501069784,1,755.131907698025,16.1261904891069,TRUE,-71.089,-32.812,1131.83465105218,37.0642067657501,TRUE
"6",18187,"david_232 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.6_1","CHL.16.6.2_1","2001-01-01","2001-12-31","year_only",0,237,"trapnight_reported","Abrothrix longipilis","Abrothrix","2001","david_339","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.635198533535004,25.5544910430908,-208.102783203125,0.0187157839536667,1.18217049021041e-05,1,752.553633371227,17.1881445010157,TRUE,-70.918,-32.854,1126.9756917144,53.6523325350691,TRUE
"7",18364,"david_233 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.4_1","CHL.16.4.5_1","2016-01-01","2016-12-31","year_only",0,630,"trapnight_reported","Abrothrix longipilis","Abrothrix","2016","david_340","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.703180611133575,34.0550384521484,-132.542404174805,0.130529344081879,1.92888407468672e-07,1,747.372795551027,25.6398224547803,TRUE,-71.221,-32.87,1125.6958231517,28.3070061213527,TRUE
"8",18522,"david_234 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.4_1","CHL.16.4.5_1","2013-01-01","2013-12-31","year_only",0,600,"trapnight_reported","Abrothrix longipilis","Abrothrix","2013","david_341","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.798576951026917,22.7686023712158,-120.178672790527,0.0535244829952717,4.5125387259759e-05,1,743.328586580337,27.5036888334599,TRUE,-71.206,-32.908,1121.4439191647,29.7214258286191,TRUE
"9",18623,"david_235 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.8_1","CHL.16.8.4_1","2001-01-01","2001-12-31","year_only",0,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2001","david_342","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.632121086120605,9.2126579284668,-57.9725761413574,0.0975958555936813,0.0265931021422148,1,724.061600597691,17.5307371647791,TRUE,-71.357,-33.07,1103.95692404242,20.5178053965712,TRUE
"10",18724,"david_236 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.16_1","CHL.16.7_1","CHL.16.7.6_1","2006-01-01","2006-12-31","year_only",3,360,"trapnight_reported","Abrothrix longipilis","Abrothrix","2006","david_343","Orthohantavirus andesense","Orthohantavirus andesense","1980456",3,0,3,0,"Andes orthohantavirus",NA,NA,0.0158564802259207,0.0158564802259207,0.0158564802259207,0.0158564802259207,NA,716.988819111356,1.10907802750321,FALSE,-71.666,-33.115,1100.43430353806,2.10401239898708,TRUE
