"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-119.976786092526,38.9881960185605,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",3,FALSE
-119.01008120748,43.5163578082442,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",5,FALSE
-117.757122415277,33.7032338355635,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",32,FALSE
-117.498123,33.430074,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",417,FALSE
-115.089326703488,30.3547825650981,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",11,FALSE
-112.383372022642,34.9812823015648,1,1,"Serology",1,"Reithrodontomys megalotis",4,FALSE
-110.8526,31.833,1,1,"Serology",1,"Reithrodontomys fulvescens",12,FALSE
-109.428620627328,35.4237462297485,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",15,FALSE
-108.817254561906,32.2794853143171,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",48,FALSE
-108.195563633162,30.8870810294834,1,1,"Serology",1,"Baiomys taylori",26,FALSE
-108.062755326966,39.1892711440133,1,1,"Serology",1,"Reithrodontomys megalotis",2,FALSE
-108.06,39.189,1,1,"Serology",1,"Reithrodontomys megalotis",2,FALSE
-108.032374670917,30.6819435129956,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys megalotis",27,FALSE
-107.986114888878,34.9514012325882,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",18,FALSE
-106.901616829298,34.0637259215334,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",46,FALSE
-106.300126526449,35.8506013502825,1,1,"Serology",1,"Reithrodontomys megalotis",67,FALSE
-105.942446291511,32.924610939087,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",6,FALSE
-105.912729124181,32.6678411495977,1,1,"Serology",1,"Neotoma micropus",29,FALSE
-105.892960188179,32.7330089933547,2,1,"Serology",2,"Neotoma micropus, Reithrodontomys megalotis",36,FALSE
-105.884444,32.524167,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-105.701389,32.471111,1,1,"Culture/molecular",1,"Neotoma micropus",2,FALSE
-105.684444,32.456111,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-105.682778,32.458333,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-105.340447403629,35.9698785564408,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",7,FALSE
-105.221242770297,39.8764892322106,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",29,FALSE
-104.445335,19.831666,1,1,"Serology",1,"Baiomys taylori",13,FALSE
-103.898472222222,37.52575,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",580,FALSE
-103.823,37.545,1,1,"Serology",1,"Reithrodontomys megalotis",451,FALSE
-103.003184880222,31.5181618829879,1,1,"Serology",1,"Neotoma micropus",5,FALSE
-102.924444,36.880556,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-102.587553873445,34.9628135081689,1,1,"Culture/molecular",1,"Reithrodontomys megalotis",69,FALSE
-101.8367,33.7372,2,1,"Serology",2,"Reithrodontomys fulvescens, Reithrodontomys megalotis",18,FALSE
-101.82,33.61,1,1,"Serology",1,"Reithrodontomys megalotis",8,FALSE
-100.996111,34.215833,1,1,"Culture/molecular",1,"Neotoma micropus",4,FALSE
-100.831743,23.818103,2,1,"Serology",2,"Reithrodontomys fulvescens, Reithrodontomys megalotis",10,FALSE
-100.812222,33.76,1,1,"Culture/molecular",1,"Neotoma micropus",5,FALSE
-100.812175577374,33.7599760628045,1,1,"Serology",1,"Neotoma micropus",18,FALSE
-100.804234833129,33.6215407569392,1,1,"Serology",1,"Neotoma micropus",26,FALSE
-100.796241588344,34.0607709622664,1,1,"Serology",1,"Neotoma micropus",11,FALSE
-100.795,33.758889,1,1,"Culture/molecular",1,"Neotoma micropus",2,FALSE
-100.794987316275,33.7588786672732,1,1,"Serology",1,"Neotoma micropus",9,FALSE
-100.276957,23.706363,1,1,"Serology",1,"Reithrodontomys fulvescens",4,FALSE
-100.200771,24.515052,1,1,"Serology",1,"Neotoma micropus",2,FALSE
-100.1818245,24.537518,1,1,"Serology",1,"Reithrodontomys megalotis",4,FALSE
-99.615,28.35,1,1,"Culture/molecular",1,"Neotoma micropus",2,FALSE
-99.466389,28.353333,1,1,"Culture/molecular",1,"Neotoma micropus",2,FALSE
-99.4630020353449,28.3512098354716,3,1,"Serology",3,"Baiomys taylori, Neotoma micropus, Reithrodontomys fulvescens",357,FALSE
-99.433721147294,28.3409658664557,3,1,"Serology",3,"Baiomys taylori, Neotoma micropus, Reithrodontomys fulvescens",323,FALSE
-99.4275,28.349444,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-99.422778,28.339722,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-99.3535169756764,28.3100679164151,3,1,"Serology",3,"Baiomys taylori, Neotoma micropus, Reithrodontomys fulvescens",382,FALSE
-99.346944,28.310278,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-99.342778,28.312778,1,1,"Culture/molecular",1,"Neotoma micropus",1,FALSE
-99.258,19.04,2,2,"Culture/molecular, Serology",1,"Reithrodontomys megalotis",50,TRUE
-99.24969,19.05939,2,2,"Culture/molecular, Serology",1,"Reithrodontomys megalotis",4,TRUE
-99.1660046207774,23.0044941360406,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",11,FALSE
-98.9260673870628,18.4995702867281,1,1,"Serology",1,"Reithrodontomys fulvescens",19,FALSE
-98.8863737268711,30.2867598911696,1,1,"Serology",1,"Baiomys taylori",14,FALSE
-98.34415,24.010036,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-98.1443080287411,24.8505870828118,1,1,"Serology",1,"Neotoma micropus",12,FALSE
-97.1682276666667,19.555053,1,1,"Serology",1,"Reithrodontomys megalotis",20,FALSE
-97.156389,19.529133,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-97.0839327080753,33.1239806257975,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",2,FALSE
-97.036999877201,33.1342337089234,1,1,"Serology",1,"Baiomys taylori",2,FALSE
-96.9805444404366,33.2509204055748,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",6,FALSE
-96.932140683323,33.4704620081944,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-96.9184077728251,33.4360884402635,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.9118456575819,33.046474201059,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8921245433464,33.0818057273025,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",29,FALSE
-96.8723948697851,33.1581529111227,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",4,FALSE
-96.8524898024349,33.8008950098992,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8513091042466,33.2355608041563,1,1,"Serology",1,"Reithrodontomys fulvescens",2,FALSE
-96.8465478023508,33.1524584542186,1,1,"Serology",1,"Reithrodontomys fulvescens",1,FALSE
-96.8322650130217,33.1606223177099,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",4,FALSE
-96.7693852874054,33.2103551004416,1,1,"Serology",1,"Baiomys taylori",1,FALSE
-96.7555655674897,33.1895401619216,2,1,"Serology",2,"Baiomys taylori, Reithrodontomys fulvescens",2,FALSE
