"host_species","culture_molecular","serology","total_obs","culture_prop","serology_prop","is_single_assay","is_strongly_imbalanced","status"
"Akodon montensis",215,241,456,0.471491228070175,0.528508771929825,FALSE,FALSE,"Balanced"
"Apodemus flavicollis",124,183,307,0.403908794788274,0.596091205211726,FALSE,FALSE,"Balanced"
"Apodemus agrarius",158,143,301,0.524916943521595,0.475083056478405,FALSE,FALSE,"Balanced"
"Rattus rattus",140,86,226,0.619469026548673,0.380530973451327,FALSE,FALSE,"Balanced"
"Oligoryzomys longicaudatus",19,113,132,0.143939393939394,0.856060606060606,FALSE,FALSE,"Balanced"
"Oligoryzomys nigripes",51,73,124,0.411290322580645,0.588709677419355,FALSE,FALSE,"Balanced"
"Abrothrix olivaceus",0,110,110,0,1,TRUE,FALSE,"Single Assay"
"Hylaeamys megacephalus",19,74,93,0.204301075268817,0.795698924731183,FALSE,FALSE,"Balanced"
"Suncus murinus",66,9,75,0.88,0.12,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Abrothrix longipilis",2,68,70,0.0285714285714286,0.971428571428571,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Lemniscomys striatus",55,13,68,0.808823529411765,0.191176470588235,FALSE,FALSE,"Balanced"
"Sorex araneus",48,16,64,0.75,0.25,FALSE,FALSE,"Balanced"
"Crocidura lasiura",13,42,55,0.236363636363636,0.763636363636364,FALSE,FALSE,"Balanced"
"Reithrodontomys fulvescens",1,47,48,0.0208333333333333,0.979166666666667,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Oligoryzomys flavescens",6,40,46,0.130434782608696,0.869565217391304,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Mus setulosus",23,21,44,0.522727272727273,0.477272727272727,FALSE,FALSE,"Balanced"
"Zygodontomys brevicauda",16,24,40,0.4,0.6,FALSE,FALSE,"Balanced"
"Aethomys chrysophilus",31,0,31,1,0,TRUE,FALSE,"Single Assay"
"Reithrodontomys megalotis",17,14,31,0.548387096774194,0.451612903225806,FALSE,FALSE,"Balanced"
"Praomys rostratus",11,19,30,0.366666666666667,0.633333333333333,FALSE,FALSE,"Balanced"
"Arvicanthis niloticus",16,10,26,0.615384615384615,0.384615384615385,FALSE,FALSE,"Balanced"
"Neotoma micropus",14,12,26,0.538461538461538,0.461538461538462,FALSE,FALSE,"Balanced"
"Apodemus speciosus",0,21,21,0,1,TRUE,FALSE,"Single Assay"
"Baiomys taylori",1,20,21,0.0476190476190476,0.952380952380952,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Lemniscomys rosalia",20,1,21,0.952380952380952,0.0476190476190476,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Rattus exulans",0,20,20,0,1,TRUE,FALSE,"Single Assay"
"Crocidura shantungensis",13,6,19,0.68421052631579,0.31578947368421,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Thaptomys nigrita",9,9,18,0.5,0.5,FALSE,TRUE,"Strongly Imbalanced (<10)"
"Hylomyscus alleni",7,8,15,0.466666666666667,0.533333333333333,FALSE,TRUE,"Strongly Imbalanced (<10)"
