"host_species","n_sites","n_overlap_sites","pct_overlap","n_assays_used"
"Akodon montensis",225,210,93.3333333333333,2
"Oligoryzomys nigripes",75,59,78.6666666666667,2
"Hylomyscus alleni",9,6,66.6666666666667,2
"Mus setulosus",24,16,66.6666666666667,2
"Thaptomys nigrita",11,7,63.6363636363636,2
"Hylaeamys megacephalus",74,38,51.3513513513513,2
"Arvicanthis niloticus",14,7,50,2
"Crocidura lasiura",32,14,43.75,2
"Praomys rostratus",22,8,36.3636363636364,2
"Lemniscomys striatus",44,9,20.4545454545455,2
"Apodemus agrarius",187,37,19.7860962566845,2
"Rattus rattus",162,32,19.7530864197531,2
"Apodemus flavicollis",202,32,15.8415841584158,2
"Zygodontomys brevicauda",34,4,11.7647058823529,2
"Oligoryzomys flavescens",42,4,9.52380952380952,2
"Reithrodontomys megalotis",29,2,6.89655172413793,2
"Suncus murinus",70,4,5.71428571428571,2
"Crocidura shantungensis",19,1,5.26315789473684,2
"Lemniscomys rosalia",19,1,5.26315789473684,2
"Abrothrix longipilis",70,0,0,2
"Abrothrix olivaceus",110,0,0,1
"Aethomys chrysophilus",31,0,0,1
"Apodemus speciosus",17,0,0,1
"Baiomys taylori",21,0,0,2
"Neotoma micropus",26,0,0,2
"Oligoryzomys longicaudatus",132,0,0,2
"Rattus exulans",20,0,0,1
"Reithrodontomys fulvescens",36,0,0,2
"Sorex araneus",54,0,0,2
