"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1centrality_within_spatial",0,0,-2318.108,68.234,50.504,2.82,4636.217,136.469
"m2suit_marg_raw_additive_spatial",-0.048,0.557,-2318.156,68.277,50.977,2.901,4636.313,136.555
"m2suit_marg_within_additive_spatial",-0.77,0.766,-2318.879,68.239,51.568,2.874,4637.757,136.479
"m2suit_marg_raw_interaction_spatial",-0.787,1.192,-2318.896,68.353,51.82,2.904,4637.791,136.705
"m2suit_marg_within_interaction_spatial",-1.805,1.089,-2319.913,68.277,52.201,2.969,4639.827,136.553
"m2boundary_marg_raw_additive_spatial",-2.52,3.224,-2320.629,68.215,49.945,2.796,4641.257,136.43
"m1suit_within_spatial",-2.671,2.607,-2320.779,68.259,49.661,2.812,4641.559,136.519
"m1suit_raw_spatial",-2.805,2.584,-2320.914,68.305,50.657,2.859,4641.827,136.61
"m2boundary_marg_within_interaction_spatial",-3.064,3.786,-2321.173,68.194,51.024,2.858,4642.345,136.387
"m2suit_spec_raw_interaction_spatial",-3.077,2.543,-2321.185,68.281,51.434,2.841,4642.371,136.563
"m1marg_within_spatial",-3.146,2.865,-2321.254,68.142,48.419,2.764,4642.509,136.285
"m2centroid_suit_raw_additive_spatial",-3.184,2.52,-2321.292,68.309,50.799,2.816,4642.584,136.618
"m2boundary_marg_within_additive_spatial",-3.423,3.165,-2321.531,68.239,50.793,2.846,4643.062,136.478
"m2centroid_suit_within_interaction_spatial",-3.667,2.752,-2321.775,68.3,51.592,2.861,4643.55,136.6
"m2centroid_suit_raw_interaction_spatial",-3.763,2.992,-2321.871,68.288,52.437,2.932,4643.743,136.576
"m2suit_spec_raw_additive_spatial",-3.825,2.613,-2321.933,68.349,51.492,2.886,4643.867,136.698
"m2suit_spec_within_additive_spatial",-4.026,2.653,-2322.134,68.312,50.995,2.886,4644.269,136.624
"m2suit_spec_within_interaction_spatial",-4.322,2.703,-2322.431,68.318,52.526,2.9,4644.861,136.636
"m2prob_marg_within_interaction_spatial",-4.476,3.296,-2322.584,68.195,50.363,2.83,4645.169,136.391
"m2marg_spec_within_additive_spatial",-4.505,2.931,-2322.613,68.21,50.3,2.83,4645.226,136.421
