"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1centrality_within_spatial",0,0,-2317.59782995081,68.2329842089778,50.3080563548654,2.82749584266975,4635.19565990161,136.465968417956
"m2suit_marg_raw_additive_spatial",-0.982038111322622,0.482359391762253,-2318.57986806213,68.2623765829244,51.0806320885722,2.87509364990942,4637.15973612427,136.524753165849
"m2suit_marg_within_additive_spatial",-1.20109769633394,0.705464765296431,-2318.79892764715,68.2461736391854,51.422984832268,2.87944550059257,4637.5978552943,136.492347278371
"m2suit_marg_raw_interaction_spatial",-1.44371059377975,1.13413347797165,-2319.04154054459,68.3594087974547,51.8618486216936,2.88687624233766,4638.08308108918,136.718817594909
"m2suit_marg_within_interaction_spatial",-2.26752330745841,0.961320151588712,-2319.86535325827,68.227664061653,51.9941679423605,2.93310219079154,4639.73070651653,136.455328123306
"m2boundary_marg_raw_additive_spatial",-3.0307720771881,3.22866267737416,-2320.628602028,68.2151135099807,49.94484606826,2.79611837464285,4641.257204056,136.430227019961
"m1suit_within_spatial",-3.18157336068084,2.61498720399427,-2320.77940331149,68.2593930170379,49.6612188908485,2.81243089208919,4641.55880662298,136.518786034076
"m1suit_raw_spatial",-3.31588435717748,2.58708961706936,-2320.91371430799,68.305078957186,50.6573869451327,2.85857007279456,4641.82742861598,136.610157914372
"m2boundary_marg_within_interaction_spatial",-3.57491079604676,3.79587342949333,-2321.17274074686,68.1936277820858,51.0238118473703,2.85809549044457,4642.34548149372,136.387255564172
"m2suit_spec_raw_interaction_spatial",-3.58762001836036,2.54727379474819,-2321.18544996917,68.2813277258733,51.4338620675258,2.84148376315623,4642.37089993833,136.562655451747
"m1marg_within_spatial",-3.65663641280997,2.86246254545385,-2321.25446636363,68.1422940481441,48.4187098999118,2.76385777398095,4642.50893272725,136.284588096288
"m2centroid_suit_raw_additive_spatial",-3.69416017369197,2.52130327349371,-2321.2919901245,68.3092214909101,50.799466543005,2.81563086608688,4642.583980249,136.61844298182
"m2boundary_marg_within_additive_spatial",-3.93302449998864,3.16017233711009,-2321.5308544508,68.2389508751892,50.7930692394435,2.84638101691554,4643.0617089016,136.477901750378
"m2centroid_suit_within_interaction_spatial",-4.17718322264266,2.75478506805485,-2321.77501317346,68.3001250784941,51.5921988854059,2.86085668476395,4643.55002634692,136.600250156988
"m2centroid_suit_raw_interaction_spatial",-4.27348101389111,2.99431358275921,-2321.87131096471,68.2878480396151,52.4373364238038,2.93157330049737,4643.74262192941,136.57569607923
"m2suit_spec_raw_additive_spatial",-4.33553062925319,2.6194005048813,-2321.93336058007,68.3491515619451,51.4916971160193,2.88553743400588,4643.86672116013,136.69830312389
"m2suit_spec_within_additive_spatial",-4.53646661744532,2.65706596399639,-2322.13429656826,68.3119061586626,50.9951382352146,2.88573368344872,4644.26859313651,136.623812317325
"m2suit_spec_within_interaction_spatial",-4.83277862114834,2.70754117825713,-2322.43060857196,68.3180301896093,52.5257933274039,2.89968776487519,4644.86121714391,136.636060379219
"m2prob_marg_within_interaction_spatial",-4.98642203222061,3.30029178437387,-2322.58425198304,68.195290883807,50.3627446702522,2.82987224026175,4645.16850396607,136.390581767614
"m2marg_spec_within_additive_spatial",-5.01517752586606,2.92379394409073,-2322.61300747668,68.2104744412818,50.3004506089468,2.82957767808248,4645.22601495336,136.420948882564
"m2boundary_marg_raw_interaction_spatial",-5.04284816840717,3.40602680104399,-2322.64067811922,68.2291785482676,52.1929929488311,2.91736214373232,4645.28135623843,136.458357096535
"m2centroid_suit_within_additive_spatial",-5.13057138732159,2.64067814553504,-2322.72840133813,68.3137362890585,51.5637201115035,2.88620288560173,4645.45680267627,136.627472578117
"m1boundary_within_spatial",-5.15447139132295,3.86584377743864,-2322.75230134213,68.2026464722074,48.7954021618148,2.74795750949714,4645.50460268426,136.405292944415
"m1marg_raw_spatial",-5.39531163626981,2.87293883278651,-2322.99314158708,68.1491259897781,49.2029327434675,2.7399997679807,4645.98628317416,136.298251979556
"m1boundary_raw_spatial",-5.51808568398845,3.92874898108079,-2323.1159156348,68.2490749379268,49.0445962048111,2.72112540532057,4646.2318312696,136.498149875854
"m2prob_marg_within_additive_spatial",-5.7988605082567,2.8452165932498,-2323.39669045907,68.2048961975357,50.6444991027947,2.86968426943362,4646.79338091814,136.409792395071
"m2marg_spec_raw_additive_spatial",-5.90087307437633,2.89134663620521,-2323.49870302519,68.1847693667536,50.2063550836495,2.81178654887676,4646.99740605037,136.369538733507
"m2prob_marg_raw_additive_spatial",-5.98805451955758,2.85541868106143,-2323.58588447037,68.178689063111,50.0201249279074,2.75719256857719,4647.17176894074,136.357378126222
