"","model_name","model_type","fitted","has_loo"
"1","m0_spatial","spatial",TRUE,TRUE
"2","m1prob_raw_spatial","spatial",TRUE,TRUE
"3","m1suit_raw_spatial","spatial",TRUE,TRUE
"4","m1marg_raw_spatial","spatial",TRUE,TRUE
"5","m1spec_raw_spatial","spatial",TRUE,TRUE
"6","m1centroid_raw_spatial","spatial",TRUE,TRUE
"7","m1boundary_raw_spatial","spatial",TRUE,TRUE
"8","m1prob_within_spatial","spatial",TRUE,TRUE
"9","m1suit_within_spatial","spatial",TRUE,TRUE
"10","m1marg_within_spatial","spatial",TRUE,TRUE
"11","m1spec_within_spatial","spatial",TRUE,TRUE
"12","m1centroid_within_spatial","spatial",TRUE,TRUE
"13","m1boundary_within_spatial","spatial",TRUE,TRUE
"14","m1centrality_within_spatial","spatial",TRUE,TRUE
"15","m1centrality_between_spatial","spatial",TRUE,TRUE
"16","m2suit_marg_raw_additive_spatial","spatial",TRUE,TRUE
"17","m2suit_spec_raw_additive_spatial","spatial",TRUE,TRUE
"18","m2marg_spec_raw_additive_spatial","spatial",TRUE,TRUE
"19","m2centroid_suit_raw_additive_spatial","spatial",TRUE,TRUE
"20","m2boundary_marg_raw_additive_spatial","spatial",TRUE,TRUE
"21","m2centroid_boundary_raw_additive_spatial","spatial",TRUE,TRUE
"22","m2prob_marg_raw_additive_spatial","spatial",TRUE,TRUE
"23","m2prob_spec_raw_additive_spatial","spatial",TRUE,TRUE
"24","m2suit_marg_raw_interaction_spatial","spatial",TRUE,TRUE
"25","m2suit_spec_raw_interaction_spatial","spatial",TRUE,TRUE
"26","m2marg_spec_raw_interaction_spatial","spatial",TRUE,TRUE
"27","m2centroid_suit_raw_interaction_spatial","spatial",TRUE,TRUE
"28","m2boundary_marg_raw_interaction_spatial","spatial",TRUE,TRUE
"29","m2centroid_boundary_raw_interaction_spatial","spatial",TRUE,TRUE
"30","m2prob_marg_raw_interaction_spatial","spatial",TRUE,TRUE
"31","m2prob_spec_raw_interaction_spatial","spatial",TRUE,TRUE
"32","m2suit_marg_within_additive_spatial","spatial",TRUE,TRUE
"33","m2suit_spec_within_additive_spatial","spatial",TRUE,TRUE
"34","m2marg_spec_within_additive_spatial","spatial",TRUE,TRUE
"35","m2centroid_suit_within_additive_spatial","spatial",TRUE,TRUE
"36","m2boundary_marg_within_additive_spatial","spatial",TRUE,TRUE
"37","m2centroid_boundary_within_additive_spatial","spatial",TRUE,TRUE
"38","m2prob_marg_within_additive_spatial","spatial",TRUE,TRUE
"39","m2prob_spec_within_additive_spatial","spatial",TRUE,TRUE
"40","m2suit_marg_within_interaction_spatial","spatial",TRUE,TRUE
"41","m2suit_spec_within_interaction_spatial","spatial",TRUE,TRUE
"42","m2marg_spec_within_interaction_spatial","spatial",TRUE,TRUE
"43","m2centroid_suit_within_interaction_spatial","spatial",TRUE,TRUE
"44","m2boundary_marg_within_interaction_spatial","spatial",TRUE,TRUE
"45","m2centroid_boundary_within_interaction_spatial","spatial",TRUE,TRUE
"46","m2prob_marg_within_interaction_spatial","spatial",TRUE,TRUE
"47","m2prob_spec_within_interaction_spatial","spatial",TRUE,TRUE
"48","m0_base_bb","non_spatial",TRUE,TRUE
"49","m0_beta_binom","non_spatial",TRUE,TRUE
"50","m0_controls","non_spatial",TRUE,TRUE
"51","m0_base","non_spatial",TRUE,TRUE
"52","m1prob","non_spatial",TRUE,TRUE
"53","m1suit","non_spatial",TRUE,TRUE
"54","m1marg","non_spatial",TRUE,TRUE
"55","m1spec","non_spatial",TRUE,TRUE
"56","m1centr","non_spatial",TRUE,TRUE
"57","m1bound","non_spatial",TRUE,TRUE
"58","m1prob_v2","non_spatial",TRUE,TRUE
"59","m1suit_v2","non_spatial",TRUE,TRUE
"60","m1marg_v2","non_spatial",TRUE,TRUE
"61","m1spec_v2","non_spatial",TRUE,TRUE
"62","m1centr_v2","non_spatial",TRUE,TRUE
"63","m1bound_v2","non_spatial",TRUE,TRUE
"64","m2a_v2","non_spatial",TRUE,TRUE
"65","m2b_v2","non_spatial",TRUE,TRUE
"66","m2c_v2","non_spatial",TRUE,TRUE
"67","m2d_v2","non_spatial",TRUE,TRUE
